conid,candidate_date,ticker,mle_rank,irc_rank,source_signal_label
44001820,2025-07-15,DAL,7,3,MLE_TOP10xIRC_TOP10_20d
120643512,2025-07-15,NCLH,9,1,MLE_TOP10xIRC_TOP10_20d
292491487,2025-07-15,TPR,3,5,MLE_TOP10xIRC_TOP10_20d
4391,2025-07-16,AMD,3,8,MLE_TOP10xIRC_TOP10_20d
44001820,2025-07-16,DAL,7,3,MLE_TOP10xIRC_TOP10_20d
292491487,2025-07-16,TPR,4,4,MLE_TOP10xIRC_TOP10_20d
292491487,2025-07-17,TPR,2,5,MLE_TOP10xIRC_TOP10_20d
584127832,2025-07-17,COHR,8,7,MLE_TOP10xIRC_TOP10_20d
691984365,2025-07-17,GEV,9,3,MLE_TOP10xIRC_TOP10_20d
292491487,2025-07-18,TPR,6,4,MLE_TOP10xIRC_TOP10_20d
4391,2025-07-21,AMD,4,7,MLE_TOP10xIRC_TOP10_20d
79498203,2025-07-21,UAL,9,2,MLE_TOP10xIRC_TOP10_20d
292491487,2025-07-21,TPR,7,3,MLE_TOP10xIRC_TOP10_20d
268627,2025-07-22,DHI,5,6,MLE_TOP10xIRC_TOP10_20d
292491487,2025-07-22,TPR,6,3,MLE_TOP10xIRC_TOP10_20d
292491487,2025-07-23,TPR,8,2,MLE_TOP10xIRC_TOP10_20d
691984365,2025-07-23,GEV,3,3,MLE_TOP10xIRC_TOP10_20d
731466408,2025-07-23,TEL,4,10,MLE_TOP10xIRC_TOP10_20d
281316445,2025-07-24,BKR,8,6,MLE_TOP10xIRC_TOP10_20d
691984365,2025-07-24,GEV,7,3,MLE_TOP10xIRC_TOP10_20d
268376,2025-07-25,DECK,10,3,MLE_TOP10xIRC_TOP10_20d
6607708,2025-07-25,FIX,1,1,MLE_TOP10xIRC_TOP10_20d
691984365,2025-07-25,GEV,5,5,MLE_TOP10xIRC_TOP10_20d
731466408,2025-07-25,TEL,7,10,MLE_TOP10xIRC_TOP10_20d
6607708,2025-07-28,FIX,1,1,MLE_TOP10xIRC_TOP10_20d
281316445,2025-07-28,BKR,9,6,MLE_TOP10xIRC_TOP10_20d
691984365,2025-07-28,GEV,10,3,MLE_TOP10xIRC_TOP10_20d
731466408,2025-07-28,TEL,5,8,MLE_TOP10xIRC_TOP10_20d
6820,2025-07-29,EME,10,1,MLE_TOP10xIRC_TOP10_20d
268376,2025-07-29,DECK,8,5,MLE_TOP10xIRC_TOP10_20d
6607708,2025-07-29,FIX,2,1,MLE_TOP10xIRC_TOP10_20d
281316445,2025-07-29,BKR,9,2,MLE_TOP10xIRC_TOP10_20d
731466408,2025-07-29,TEL,5,8,MLE_TOP10xIRC_TOP10_20d
6607708,2025-07-30,FIX,1,1,MLE_TOP10xIRC_TOP10_20d
72529783,2025-07-30,GNRC,3,3,MLE_TOP10xIRC_TOP10_20d
281316445,2025-07-30,BKR,7,8,MLE_TOP10xIRC_TOP10_20d
731466408,2025-07-30,TEL,9,7,MLE_TOP10xIRC_TOP10_20d
7655,2025-07-31,GLW,7,10,MLE_TOP10xIRC_TOP10_20d
4347086,2025-07-31,EBAY,4,8,MLE_TOP10xIRC_TOP10_20d
6607708,2025-07-31,FIX,2,2,MLE_TOP10xIRC_TOP10_20d
72529783,2025-07-31,GNRC,1,3,MLE_TOP10xIRC_TOP10_20d
691984365,2025-07-31,GEV,8,1,MLE_TOP10xIRC_TOP10_20d
731466408,2025-07-31,TEL,9,7,MLE_TOP10xIRC_TOP10_20d
268627,2025-08-01,DHI,7,3,MLE_TOP10xIRC_TOP10_20d
6607708,2025-08-01,FIX,2,1,MLE_TOP10xIRC_TOP10_20d
72529783,2025-08-01,GNRC,1,6,MLE_TOP10xIRC_TOP10_20d
691984365,2025-08-01,GEV,6,2,MLE_TOP10xIRC_TOP10_20d
268627,2025-08-04,DHI,8,3,MLE_TOP10xIRC_TOP10_20d
5019164,2025-08-04,WSM,9,10,MLE_TOP10xIRC_TOP10_20d
6607708,2025-08-04,FIX,3,1,MLE_TOP10xIRC_TOP10_20d
72529783,2025-08-04,GNRC,2,5,MLE_TOP10xIRC_TOP10_20d
691984365,2025-08-04,GEV,7,2,MLE_TOP10xIRC_TOP10_20d
6607708,2025-08-05,FIX,2,1,MLE_TOP10xIRC_TOP10_20d
691984365,2025-08-05,GEV,5,2,MLE_TOP10xIRC_TOP10_20d
6607708,2025-08-06,FIX,2,1,MLE_TOP10xIRC_TOP10_20d
7655,2025-08-07,GLW,9,4,MLE_TOP10xIRC_TOP10_20d
6607708,2025-08-07,FIX,2,2,MLE_TOP10xIRC_TOP10_20d
740948854,2025-08-07,ANET,4,4,MLE_TOP10xIRC_TOP10_20d
7655,2025-08-08,GLW,5,3,MLE_TOP10xIRC_TOP10_20d
4347086,2025-08-08,EBAY,10,6,MLE_TOP10xIRC_TOP10_20d
481863646,2025-08-08,APP,1,6,MLE_TOP10xIRC_TOP10_20d
740948854,2025-08-08,ANET,3,3,MLE_TOP10xIRC_TOP10_20d
7655,2025-08-11,GLW,4,3,MLE_TOP10xIRC_TOP10_20d
4347086,2025-08-11,EBAY,3,8,MLE_TOP10xIRC_TOP10_20d
481863646,2025-08-11,APP,2,8,MLE_TOP10xIRC_TOP10_20d
740948854,2025-08-11,ANET,5,3,MLE_TOP10xIRC_TOP10_20d
4347086,2025-08-12,EBAY,3,8,MLE_TOP10xIRC_TOP10_20d
481863646,2025-08-12,APP,2,8,MLE_TOP10xIRC_TOP10_20d
740948854,2025-08-12,ANET,7,4,MLE_TOP10xIRC_TOP10_20d
9091,2025-08-13,LEN,8,1,MLE_TOP10xIRC_TOP10_20d
655276609,2025-08-13,CRH,6,2,MLE_TOP10xIRC_TOP10_20d
9091,2025-08-14,LEN,8,1,MLE_TOP10xIRC_TOP10_20d
270639,2025-08-14,INTC,3,10,MLE_TOP10xIRC_TOP10_20d
32106121,2025-08-14,MPWR,5,10,MLE_TOP10xIRC_TOP10_20d
98542021,2025-08-14,EXPE,10,9,MLE_TOP10xIRC_TOP10_20d
655276609,2025-08-14,CRH,7,4,MLE_TOP10xIRC_TOP10_20d
13272,2025-08-15,UNH,1,5,MLE_TOP10xIRC_TOP10_20d
44001820,2025-08-15,DAL,7,7,MLE_TOP10xIRC_TOP10_20d
79498203,2025-08-15,UAL,6,7,MLE_TOP10xIRC_TOP10_20d
655276609,2025-08-15,CRH,10,4,MLE_TOP10xIRC_TOP10_20d
740948854,2025-08-15,ANET,8,3,MLE_TOP10xIRC_TOP10_20d
8251,2025-08-18,HUM,9,5,MLE_TOP10xIRC_TOP10_20d
13272,2025-08-18,UNH,1,5,MLE_TOP10xIRC_TOP10_20d
44001820,2025-08-18,DAL,8,4,MLE_TOP10xIRC_TOP10_20d
79498203,2025-08-18,UAL,6,4,MLE_TOP10xIRC_TOP10_20d
740948854,2025-08-18,ANET,10,6,MLE_TOP10xIRC_TOP10_20d
13272,2025-08-19,UNH,2,5,MLE_TOP10xIRC_TOP10_20d
44001820,2025-08-19,DAL,9,1,MLE_TOP10xIRC_TOP10_20d
79498203,2025-08-19,UAL,6,1,MLE_TOP10xIRC_TOP10_20d
98542021,2025-08-19,EXPE,10,10,MLE_TOP10xIRC_TOP10_20d
655276609,2025-08-19,CRH,8,7,MLE_TOP10xIRC_TOP10_20d
13272,2025-08-20,UNH,1,7,MLE_TOP10xIRC_TOP10_20d
270639,2025-08-20,INTC,10,10,MLE_TOP10xIRC_TOP10_20d
13878278,2025-08-20,CNC,5,7,MLE_TOP10xIRC_TOP10_20d
8251,2025-08-21,HUM,3,3,MLE_TOP10xIRC_TOP10_20d
13272,2025-08-21,UNH,1,3,MLE_TOP10xIRC_TOP10_20d
13878278,2025-08-21,CNC,5,3,MLE_TOP10xIRC_TOP10_20d
346403540,2025-08-21,CI,10,3,MLE_TOP10xIRC_TOP10_20d
11520,2025-08-22,RCL,9,6,MLE_TOP10xIRC_TOP10_20d
13272,2025-08-22,UNH,2,5,MLE_TOP10xIRC_TOP10_20d
13878278,2025-08-22,CNC,8,5,MLE_TOP10xIRC_TOP10_20d
44001820,2025-08-22,DAL,7,3,MLE_TOP10xIRC_TOP10_20d
79498203,2025-08-22,UAL,6,3,MLE_TOP10xIRC_TOP10_20d
13272,2025-08-25,UNH,1,4,MLE_TOP10xIRC_TOP10_20d
13878278,2025-08-25,CNC,7,4,MLE_TOP10xIRC_TOP10_20d
79498203,2025-08-25,UAL,8,3,MLE_TOP10xIRC_TOP10_20d
11520,2025-08-26,RCL,5,7,MLE_TOP10xIRC_TOP10_20d
13272,2025-08-26,UNH,3,5,MLE_TOP10xIRC_TOP10_20d
47965865,2025-08-26,SATS,1,8,MLE_TOP10xIRC_TOP10_20d
11520,2025-08-27,RCL,2,4,MLE_TOP10xIRC_TOP10_20d
13272,2025-08-27,UNH,4,7,MLE_TOP10xIRC_TOP10_20d
47965865,2025-08-27,SATS,1,9,MLE_TOP10xIRC_TOP10_20d
11520,2025-08-28,RCL,3,5,MLE_TOP10xIRC_TOP10_20d
13272,2025-08-28,UNH,10,6,MLE_TOP10xIRC_TOP10_20d
16454492,2025-08-28,WYNN,5,7,MLE_TOP10xIRC_TOP10_20d
11520,2025-08-29,RCL,4,6,MLE_TOP10xIRC_TOP10_20d
16454492,2025-08-29,WYNN,3,5,MLE_TOP10xIRC_TOP10_20d
474515500,2025-08-29,APA,6,10,MLE_TOP10xIRC_TOP10_20d
13497,2025-09-02,VLO,5,5,MLE_TOP10xIRC_TOP10_20d
16454492,2025-09-02,WYNN,4,4,MLE_TOP10xIRC_TOP10_20d
47965865,2025-09-02,SATS,1,8,MLE_TOP10xIRC_TOP10_20d
89495776,2025-09-02,MPC,10,5,MLE_TOP10xIRC_TOP10_20d
201113895,2025-09-02,LITE,8,10,MLE_TOP10xIRC_TOP10_20d
474515500,2025-09-02,APA,2,5,MLE_TOP10xIRC_TOP10_20d
13497,2025-09-03,VLO,8,10,MLE_TOP10xIRC_TOP10_20d
47965865,2025-09-03,SATS,1,8,MLE_TOP10xIRC_TOP10_20d
474515500,2025-09-03,APA,9,10,MLE_TOP10xIRC_TOP10_20d
41045553,2025-09-04,CIEN,2,6,MLE_TOP10xIRC_TOP10_20d
47965865,2025-09-04,SATS,1,6,MLE_TOP10xIRC_TOP10_20d
474515500,2025-09-04,APA,10,9,MLE_TOP10xIRC_TOP10_20d
13681,2025-09-05,WDC,4,7,MLE_TOP10xIRC_TOP10_20d
41045553,2025-09-05,CIEN,2,9,MLE_TOP10xIRC_TOP10_20d
47965865,2025-09-05,SATS,1,9,MLE_TOP10xIRC_TOP10_20d
201113895,2025-09-05,LITE,3,7,MLE_TOP10xIRC_TOP10_20d
313130367,2025-09-05,AVGO,10,6,MLE_TOP10xIRC_TOP10_20d
491932113,2025-09-05,STX,5,7,MLE_TOP10xIRC_TOP10_20d
13681,2025-09-08,WDC,5,5,MLE_TOP10xIRC_TOP10_20d
201113895,2025-09-08,LITE,3,5,MLE_TOP10xIRC_TOP10_20d
313130367,2025-09-08,AVGO,7,7,MLE_TOP10xIRC_TOP10_20d
491932113,2025-09-08,STX,6,5,MLE_TOP10xIRC_TOP10_20d
9939,2025-09-09,MU,7,7,MLE_TOP10xIRC_TOP10_20d
13681,2025-09-09,WDC,5,4,MLE_TOP10xIRC_TOP10_20d
201113895,2025-09-09,LITE,4,4,MLE_TOP10xIRC_TOP10_20d
208813719,2025-09-09,GOOGL,8,9,MLE_TOP10xIRC_TOP10_20d
208813720,2025-09-09,GOOG,9,9,MLE_TOP10xIRC_TOP10_20d
313130367,2025-09-09,AVGO,10,7,MLE_TOP10xIRC_TOP10_20d
481863646,2025-09-09,APP,3,9,MLE_TOP10xIRC_TOP10_20d
491932113,2025-09-09,STX,6,4,MLE_TOP10xIRC_TOP10_20d
41045553,2025-09-10,CIEN,2,9,MLE_TOP10xIRC_TOP10_20d
47965865,2025-09-10,SATS,1,9,MLE_TOP10xIRC_TOP10_20d
208813719,2025-09-10,GOOGL,10,8,MLE_TOP10xIRC_TOP10_20d
481863646,2025-09-10,APP,6,8,MLE_TOP10xIRC_TOP10_20d
13878278,2025-09-11,CNC,10,10,MLE_TOP10xIRC_TOP10_20d
41045553,2025-09-11,CIEN,1,5,MLE_TOP10xIRC_TOP10_20d
47965865,2025-09-11,SATS,3,5,MLE_TOP10xIRC_TOP10_20d
13681,2025-09-12,WDC,8,9,MLE_TOP10xIRC_TOP10_20d
201113895,2025-09-12,LITE,7,9,MLE_TOP10xIRC_TOP10_20d
41045553,2025-09-15,CIEN,2,5,MLE_TOP10xIRC_TOP10_20d
76792991,2025-09-15,TSLA,9,8,MLE_TOP10xIRC_TOP10_20d
9939,2025-09-16,MU,4,9,MLE_TOP10xIRC_TOP10_20d
13681,2025-09-16,WDC,7,8,MLE_TOP10xIRC_TOP10_20d
41045553,2025-09-16,CIEN,2,10,MLE_TOP10xIRC_TOP10_20d
76792991,2025-09-16,TSLA,6,7,MLE_TOP10xIRC_TOP10_20d
201113895,2025-09-16,LITE,5,8,MLE_TOP10xIRC_TOP10_20d
491932113,2025-09-16,STX,10,8,MLE_TOP10xIRC_TOP10_20d
732440574,2025-09-16,LRCX,9,9,MLE_TOP10xIRC_TOP10_20d
9939,2025-09-17,MU,4,10,MLE_TOP10xIRC_TOP10_20d
41045553,2025-09-17,CIEN,2,9,MLE_TOP10xIRC_TOP10_20d
201113895,2025-09-17,LITE,8,8,MLE_TOP10xIRC_TOP10_20d
491932113,2025-09-17,STX,9,8,MLE_TOP10xIRC_TOP10_20d
732440574,2025-09-17,LRCX,6,10,MLE_TOP10xIRC_TOP10_20d
9939,2025-09-18,MU,2,3,MLE_TOP10xIRC_TOP10_20d
266093,2025-09-18,AMAT,10,3,MLE_TOP10xIRC_TOP10_20d
270639,2025-09-18,INTC,6,3,MLE_TOP10xIRC_TOP10_20d
76792991,2025-09-18,TSLA,7,8,MLE_TOP10xIRC_TOP10_20d
201113895,2025-09-18,LITE,9,5,MLE_TOP10xIRC_TOP10_20d
370757467,2025-09-18,CRWD,8,5,MLE_TOP10xIRC_TOP10_20d
481863646,2025-09-18,APP,5,9,MLE_TOP10xIRC_TOP10_20d
732440574,2025-09-18,LRCX,4,3,MLE_TOP10xIRC_TOP10_20d
9939,2025-09-19,MU,4,4,MLE_TOP10xIRC_TOP10_20d
270639,2025-09-19,INTC,8,4,MLE_TOP10xIRC_TOP10_20d
76792991,2025-09-19,TSLA,7,9,MLE_TOP10xIRC_TOP10_20d
370757467,2025-09-19,CRWD,9,3,MLE_TOP10xIRC_TOP10_20d
481863646,2025-09-19,APP,3,8,MLE_TOP10xIRC_TOP10_20d
504546674,2025-09-19,HOOD,6,8,MLE_TOP10xIRC_TOP10_20d
732440574,2025-09-19,LRCX,5,4,MLE_TOP10xIRC_TOP10_20d
9939,2025-09-22,MU,5,3,MLE_TOP10xIRC_TOP10_20d
13681,2025-09-22,WDC,9,4,MLE_TOP10xIRC_TOP10_20d
266093,2025-09-22,AMAT,7,3,MLE_TOP10xIRC_TOP10_20d
270957,2025-09-22,KLAC,10,3,MLE_TOP10xIRC_TOP10_20d
402783527,2025-09-22,VRT,6,1,MLE_TOP10xIRC_TOP10_20d
491932113,2025-09-22,STX,8,4,MLE_TOP10xIRC_TOP10_20d
732440574,2025-09-22,LRCX,3,3,MLE_TOP10xIRC_TOP10_20d
9939,2025-09-23,MU,4,4,MLE_TOP10xIRC_TOP10_20d
12729,2025-09-23,TER,9,4,MLE_TOP10xIRC_TOP10_20d
266093,2025-09-23,AMAT,5,4,MLE_TOP10xIRC_TOP10_20d
270639,2025-09-23,INTC,7,4,MLE_TOP10xIRC_TOP10_20d
270957,2025-09-23,KLAC,10,4,MLE_TOP10xIRC_TOP10_20d
491932113,2025-09-23,STX,8,1,MLE_TOP10xIRC_TOP10_20d
732440574,2025-09-23,LRCX,3,4,MLE_TOP10xIRC_TOP10_20d
9939,2025-09-24,MU,8,4,MLE_TOP10xIRC_TOP10_20d
13681,2025-09-24,WDC,9,3,MLE_TOP10xIRC_TOP10_20d
266093,2025-09-24,AMAT,4,4,MLE_TOP10xIRC_TOP10_20d
270639,2025-09-24,INTC,3,4,MLE_TOP10xIRC_TOP10_20d
270957,2025-09-24,KLAC,10,4,MLE_TOP10xIRC_TOP10_20d
76792991,2025-09-24,TSLA,2,8,MLE_TOP10xIRC_TOP10_20d
491932113,2025-09-24,STX,7,3,MLE_TOP10xIRC_TOP10_20d
732440574,2025-09-24,LRCX,6,4,MLE_TOP10xIRC_TOP10_20d
12729,2025-09-25,TER,4,4,MLE_TOP10xIRC_TOP10_20d
13681,2025-09-25,WDC,10,3,MLE_TOP10xIRC_TOP10_20d
265598,2025-09-25,AAPL,9,3,MLE_TOP10xIRC_TOP10_20d
266093,2025-09-25,AMAT,3,4,MLE_TOP10xIRC_TOP10_20d
270639,2025-09-25,INTC,1,4,MLE_TOP10xIRC_TOP10_20d
76792991,2025-09-25,TSLA,5,6,MLE_TOP10xIRC_TOP10_20d
481863646,2025-09-25,APP,7,9,MLE_TOP10xIRC_TOP10_20d
491932113,2025-09-25,STX,8,3,MLE_TOP10xIRC_TOP10_20d
7890,2025-09-26,HAL,7,1,MLE_TOP10xIRC_TOP10_20d
8314,2025-09-26,IBM,8,4,MLE_TOP10xIRC_TOP10_20d
12729,2025-09-26,TER,3,2,MLE_TOP10xIRC_TOP10_20d
13497,2025-09-26,VLO,10,7,MLE_TOP10xIRC_TOP10_20d
266093,2025-09-26,AMAT,2,2,MLE_TOP10xIRC_TOP10_20d
270639,2025-09-26,INTC,1,2,MLE_TOP10xIRC_TOP10_20d
481863646,2025-09-26,APP,5,10,MLE_TOP10xIRC_TOP10_20d
7890,2025-09-29,HAL,8,2,MLE_TOP10xIRC_TOP10_20d
12729,2025-09-29,TER,5,4,MLE_TOP10xIRC_TOP10_20d
13681,2025-09-29,WDC,9,3,MLE_TOP10xIRC_TOP10_20d
266093,2025-09-29,AMAT,3,4,MLE_TOP10xIRC_TOP10_20d
270639,2025-09-29,INTC,1,4,MLE_TOP10xIRC_TOP10_20d
12729,2025-09-30,TER,3,3,MLE_TOP10xIRC_TOP10_20d
13681,2025-09-30,WDC,7,2,MLE_TOP10xIRC_TOP10_20d
266093,2025-09-30,AMAT,5,3,MLE_TOP10xIRC_TOP10_20d
270639,2025-09-30,INTC,1,3,MLE_TOP10xIRC_TOP10_20d
13878278,2025-09-30,CNC,9,9,MLE_TOP10xIRC_TOP10_20d
182880167,2025-09-30,ES,10,10,MLE_TOP10xIRC_TOP10_20d
12729,2025-10-01,TER,3,2,MLE_TOP10xIRC_TOP10_20d
13681,2025-10-01,WDC,2,3,MLE_TOP10xIRC_TOP10_20d
266093,2025-10-01,AMAT,5,2,MLE_TOP10xIRC_TOP10_20d
270639,2025-10-01,INTC,1,2,MLE_TOP10xIRC_TOP10_20d
402783527,2025-10-01,VRT,7,1,MLE_TOP10xIRC_TOP10_20d
491932113,2025-10-01,STX,6,3,MLE_TOP10xIRC_TOP10_20d
731466419,2025-10-01,SMCI,10,3,MLE_TOP10xIRC_TOP10_20d
732440574,2025-10-01,LRCX,9,2,MLE_TOP10xIRC_TOP10_20d
12729,2025-10-02,TER,3,2,MLE_TOP10xIRC_TOP10_20d
13681,2025-10-02,WDC,1,3,MLE_TOP10xIRC_TOP10_20d
266093,2025-10-02,AMAT,5,2,MLE_TOP10xIRC_TOP10_20d
270639,2025-10-02,INTC,2,2,MLE_TOP10xIRC_TOP10_20d
491932113,2025-10-02,STX,6,3,MLE_TOP10xIRC_TOP10_20d
732440574,2025-10-02,LRCX,9,2,MLE_TOP10xIRC_TOP10_20d
9939,2025-10-03,MU,10,8,MLE_TOP10xIRC_TOP10_20d
12729,2025-10-03,TER,5,8,MLE_TOP10xIRC_TOP10_20d
13681,2025-10-03,WDC,3,2,MLE_TOP10xIRC_TOP10_20d
270639,2025-10-03,INTC,2,8,MLE_TOP10xIRC_TOP10_20d
13878278,2025-10-03,CNC,4,10,MLE_TOP10xIRC_TOP10_20d
4391,2025-10-06,AMD,1,2,MLE_TOP10xIRC_TOP10_20d
9939,2025-10-06,MU,7,2,MLE_TOP10xIRC_TOP10_20d
270639,2025-10-06,INTC,2,2,MLE_TOP10xIRC_TOP10_20d
731466419,2025-10-06,SMCI,5,6,MLE_TOP10xIRC_TOP10_20d
4391,2025-10-07,AMD,1,3,MLE_TOP10xIRC_TOP10_20d
270639,2025-10-07,INTC,2,3,MLE_TOP10xIRC_TOP10_20d
13878278,2025-10-07,CNC,5,9,MLE_TOP10xIRC_TOP10_20d
75960201,2025-10-07,NEE,7,6,MLE_TOP10xIRC_TOP10_20d
731466419,2025-10-07,SMCI,6,7,MLE_TOP10xIRC_TOP10_20d
4391,2025-10-08,AMD,1,6,MLE_TOP10xIRC_TOP10_20d
9939,2025-10-08,MU,4,6,MLE_TOP10xIRC_TOP10_20d
270639,2025-10-08,INTC,7,6,MLE_TOP10xIRC_TOP10_20d
346218218,2025-10-08,DELL,3,3,MLE_TOP10xIRC_TOP10_20d
731466419,2025-10-08,SMCI,2,3,MLE_TOP10xIRC_TOP10_20d
4391,2025-10-09,AMD,1,2,MLE_TOP10xIRC_TOP10_20d
9160,2025-10-09,LLY,9,8,MLE_TOP10xIRC_TOP10_20d
9939,2025-10-09,MU,5,2,MLE_TOP10xIRC_TOP10_20d
402783527,2025-10-09,VRT,7,1,MLE_TOP10xIRC_TOP10_20d
731466419,2025-10-09,SMCI,3,4,MLE_TOP10xIRC_TOP10_20d
4391,2025-10-10,AMD,1,7,MLE_TOP10xIRC_TOP10_20d
9160,2025-10-10,LLY,6,4,MLE_TOP10xIRC_TOP10_20d
9939,2025-10-10,MU,3,7,MLE_TOP10xIRC_TOP10_20d
346218218,2025-10-10,DELL,5,5,MLE_TOP10xIRC_TOP10_20d
402783527,2025-10-10,VRT,2,1,MLE_TOP10xIRC_TOP10_20d
731466419,2025-10-10,SMCI,4,5,MLE_TOP10xIRC_TOP10_20d
4391,2025-10-13,AMD,1,4,MLE_TOP10xIRC_TOP10_20d
9939,2025-10-13,MU,4,4,MLE_TOP10xIRC_TOP10_20d
2730877,2025-10-13,CRL,6,8,MLE_TOP10xIRC_TOP10_20d
346218218,2025-10-13,DELL,8,9,MLE_TOP10xIRC_TOP10_20d
402783527,2025-10-13,VRT,2,1,MLE_TOP10xIRC_TOP10_20d
731466419,2025-10-13,SMCI,3,9,MLE_TOP10xIRC_TOP10_20d
4391,2025-10-14,AMD,1,10,MLE_TOP10xIRC_TOP10_20d
9939,2025-10-14,MU,8,10,MLE_TOP10xIRC_TOP10_20d
75960201,2025-10-14,NEE,7,3,MLE_TOP10xIRC_TOP10_20d
402783527,2025-10-14,VRT,4,1,MLE_TOP10xIRC_TOP10_20d
538132976,2025-10-14,CEG,3,3,MLE_TOP10xIRC_TOP10_20d
731466419,2025-10-14,SMCI,10,9,MLE_TOP10xIRC_TOP10_20d
4391,2025-10-15,AMD,1,4,MLE_TOP10xIRC_TOP10_20d
5437,2025-10-15,CAT,9,1,MLE_TOP10xIRC_TOP10_20d
72529783,2025-10-15,GNRC,4,6,MLE_TOP10xIRC_TOP10_20d
79498203,2025-10-15,UAL,7,8,MLE_TOP10xIRC_TOP10_20d
402783527,2025-10-15,VRT,6,1,MLE_TOP10xIRC_TOP10_20d
538132976,2025-10-15,CEG,3,3,MLE_TOP10xIRC_TOP10_20d
4391,2025-10-16,AMD,1,6,MLE_TOP10xIRC_TOP10_20d
5437,2025-10-16,CAT,9,1,MLE_TOP10xIRC_TOP10_20d
9939,2025-10-16,MU,10,6,MLE_TOP10xIRC_TOP10_20d
270825,2025-10-16,JBHT,2,10,MLE_TOP10xIRC_TOP10_20d
32106121,2025-10-16,MPWR,8,6,MLE_TOP10xIRC_TOP10_20d
538132976,2025-10-16,CEG,7,2,MLE_TOP10xIRC_TOP10_20d
663174498,2025-10-16,BG,3,9,MLE_TOP10xIRC_TOP10_20d
4391,2025-10-17,AMD,1,6,MLE_TOP10xIRC_TOP10_20d
269753,2025-10-17,GILD,8,9,MLE_TOP10xIRC_TOP10_20d
270825,2025-10-17,JBHT,2,8,MLE_TOP10xIRC_TOP10_20d
32106121,2025-10-17,MPWR,7,6,MLE_TOP10xIRC_TOP10_20d
324057162,2025-10-17,KDP,10,4,MLE_TOP10xIRC_TOP10_20d
402783527,2025-10-17,VRT,9,1,MLE_TOP10xIRC_TOP10_20d
4391,2025-10-20,AMD,2,10,MLE_TOP10xIRC_TOP10_20d
11017,2025-10-20,PEP,8,5,MLE_TOP10xIRC_TOP10_20d
8677881,2025-10-20,ON,10,10,MLE_TOP10xIRC_TOP10_20d
324057162,2025-10-20,KDP,9,5,MLE_TOP10xIRC_TOP10_20d
663174498,2025-10-20,BG,5,9,MLE_TOP10xIRC_TOP10_20d
4391,2025-10-21,AMD,7,4,MLE_TOP10xIRC_TOP10_20d
2730877,2025-10-21,CRL,9,5,MLE_TOP10xIRC_TOP10_20d
8677881,2025-10-21,ON,5,4,MLE_TOP10xIRC_TOP10_20d
44001820,2025-10-21,DAL,10,8,MLE_TOP10xIRC_TOP10_20d
80986742,2025-10-21,GM,3,10,MLE_TOP10xIRC_TOP10_20d
11017,2025-10-22,PEP,8,2,MLE_TOP10xIRC_TOP10_20d
9063285,2025-10-22,ISRG,2,6,MLE_TOP10xIRC_TOP10_20d
80986742,2025-10-22,GM,1,9,MLE_TOP10xIRC_TOP10_20d
13909,2025-10-23,WST,6,6,MLE_TOP10xIRC_TOP10_20d
9063285,2025-10-23,ISRG,1,6,MLE_TOP10xIRC_TOP10_20d
80986742,2025-10-23,GM,3,7,MLE_TOP10xIRC_TOP10_20d
9939,2025-10-24,MU,7,5,MLE_TOP10xIRC_TOP10_20d
