,conid,candidate_date,sf1_datekey,staleness_days,staleness_flag,identity_tier,is_alias,coverage_status,reason_code,revenue,netinc,eps,fcf,roe,grossmargin,netmargin,debt,de,assets,equity,ticker,revenue_yoy
30,292491487,2025-07-16,2025-05-08,69,,MATCHED_STRONG,False,OK,,6878600000.0,859600000.0,3.89,892200000.0,0.395,0.751,0.125,4107700000.0,3.891,7306200000.0,1493800000.0,TPR,0.026718013015702535
31,292491487,2025-07-17,2025-05-08,70,,MATCHED_STRONG,False,OK,,6878600000.0,859600000.0,3.89,892200000.0,0.395,0.751,0.125,4107700000.0,3.891,7306200000.0,1493800000.0,TPR,0.026718013015702535
32,584127832,2025-07-17,2025-05-07,71,,MATCHED_STRONG,False,OK,,5595041000.0,96541000.0,-0.21,256250000.0,-0.006,0.345,-0.006,3944525000.0,1.173,14444825000.0,5352622000.0,COHR,0.2167425593856267
33,691984365,2025-07-17,2025-04-23,85,,MATCHED_STRONG,False,OK,,35708000000.0,1936000000.0,7.04,3391000000.0,0.211,0.179,0.054,0.0,4.867,51559000000.0,8607000000.0,GEV,
34,292491487,2025-07-18,2025-05-08,71,,MATCHED_STRONG,False,OK,,6878600000.0,859600000.0,3.89,892200000.0,0.395,0.751,0.125,4107700000.0,3.891,7306200000.0,1493800000.0,TPR,0.026718013015702535
35,4391,2025-07-21,2025-05-07,75,,MATCHED_STRONG,False,OK,,27750000000.0,2227000000.0,1.37,2753000000.0,0.039,0.501,0.08,4731000000.0,0.236,71550000000.0,57881000000.0,AMD,0.2171052631578947
36,79498203,2025-07-21,2025-07-17,4,,MATCHED_STRONG,False,OK,,57987000000.0,3310000000.0,10.11,4159000000.0,0.264,0.641,0.057,32786000000.0,4.77,77163000000.0,13373000000.0,UAL,0.04227554596926386
37,292491487,2025-07-21,2025-05-08,74,,MATCHED_STRONG,False,OK,,6878600000.0,859600000.0,3.89,892200000.0,0.395,0.751,0.125,4107700000.0,3.891,7306200000.0,1493800000.0,TPR,0.026718013015702535
38,268627,2025-07-22,2025-04-23,90,,MATCHED_STRONG,False,OK,,35315300000.0,4292300000.0,13.28,2738300000.0,0.173,0.255,0.122,6518400000.0,0.445,35690000000.0,24327100000.0,DHI,-0.047149702666824944
39,292491487,2025-07-22,2025-05-08,75,,MATCHED_STRONG,False,OK,,6878600000.0,859600000.0,3.89,892200000.0,0.395,0.751,0.125,4107700000.0,3.891,7306200000.0,1493800000.0,TPR,0.026718013015702535
40,292491487,2025-07-23,2025-05-08,76,,MATCHED_STRONG,False,OK,,6878600000.0,859600000.0,3.89,892200000.0,0.395,0.751,0.125,4107700000.0,3.891,7306200000.0,1493800000.0,TPR,0.026718013015702535
41,691984365,2025-07-23,2025-07-23,0,,MATCHED_STRONG,False,OK,,36615000000.0,1156000000.0,4.21,2754000000.0,0.127,0.179,0.032,0.0,4.859,53078000000.0,8877000000.0,GEV,
42,731466408,2025-07-23,2025-04-28,86,,MATCHED_NAME_VERIFIED,False,OK,,16026000000.0,1390000000.0,4.61,2798000000.0,0.112,0.349,0.087,5614000000.0,0.947,23656000000.0,12085000000.0,TEL,0.01231760469964005
43,281316445,2025-07-24,2025-07-23,1,,MATCHED_STRONG,False,OK,,27609000000.0,3048000000.0,3.08,2341000000.0,0.18,0.223,0.11,6034000000.0,1.179,38740000000.0,17697000000.0,BKR,0.05341676523331684
44,691984365,2025-07-24,2025-07-23,1,,MATCHED_STRONG,False,OK,,36615000000.0,1156000000.0,4.21,2754000000.0,0.127,0.179,0.032,0.0,4.859,53078000000.0,8877000000.0,GEV,
45,268376,2025-07-25,2025-05-23,63,,MATCHED_STRONG,False,OK,,4985612000.0,966091000.0,6.36,969520000.0,0.409,0.579,0.194,276975000.0,0.421,3570252000.0,2513013000.0,DECK,0.16275363167227286
46,6607708,2025-07-25,2025-07-24,1,,MATCHED_STRONG,False,OK,,7684775000.0,692242000.0,19.51,566744000.0,0.393,0.225,0.09,283650000.0,1.569,5063729000.0,1971209000.0,FIX,0.2633207386623302
47,691984365,2025-07-25,2025-07-23,2,,MATCHED_STRONG,False,OK,,36615000000.0,1156000000.0,4.21,2754000000.0,0.127,0.179,0.032,0.0,4.859,53078000000.0,8877000000.0,GEV,
48,731466408,2025-07-25,2025-07-25,0,,MATCHED_NAME_VERIFIED,False,OK,,16581000000.0,1455000000.0,4.9,2893000000.0,0.118,0.35,0.088,5697000000.0,0.997,24866000000.0,12381000000.0,TEL,0.047375402690922774
49,6607708,2025-07-28,2025-07-24,4,,MATCHED_STRONG,False,OK,,7684775000.0,692242000.0,19.51,566744000.0,0.393,0.225,0.09,283650000.0,1.569,5063729000.0,1971209000.0,FIX,0.2633207386623302
50,281316445,2025-07-28,2025-07-23,5,,MATCHED_STRONG,False,OK,,27609000000.0,3048000000.0,3.08,2341000000.0,0.18,0.223,0.11,6034000000.0,1.179,38740000000.0,17697000000.0,BKR,0.021307291088669356
51,691984365,2025-07-28,2025-07-23,5,,MATCHED_STRONG,False,OK,,36615000000.0,1156000000.0,4.21,2754000000.0,0.127,0.179,0.032,0.0,4.859,53078000000.0,8877000000.0,GEV,
52,731466408,2025-07-28,2025-07-25,3,,MATCHED_NAME_VERIFIED,False,OK,,16581000000.0,1455000000.0,4.9,2893000000.0,0.118,0.35,0.088,5697000000.0,0.997,24866000000.0,12381000000.0,TEL,0.047375402690922774
53,6820,2025-07-29,2025-04-30,90,,MATCHED_STRONG,False,OK,,15001212000.0,1050673000.0,22.71,1307532000.0,0.369,0.193,0.07,635566000.0,1.738,8078872000.0,2949957000.0,EME,0.0913153448656161
54,268376,2025-07-29,2025-05-23,67,,MATCHED_STRONG,False,OK,,4985612000.0,966091000.0,6.36,969520000.0,0.409,0.579,0.194,276975000.0,0.421,3570252000.0,2513013000.0,DECK,0.16275363167227286
55,6607708,2025-07-29,2025-07-24,5,,MATCHED_STRONG,False,OK,,7684775000.0,692242000.0,19.51,566744000.0,0.393,0.225,0.09,283650000.0,1.569,5063729000.0,1971209000.0,FIX,0.2633207386623302
56,281316445,2025-07-29,2025-07-23,6,,MATCHED_STRONG,False,OK,,27609000000.0,3048000000.0,3.08,2341000000.0,0.18,0.223,0.11,6034000000.0,1.179,38740000000.0,17697000000.0,BKR,0.021307291088669356
57,731466408,2025-07-29,2025-07-25,4,,MATCHED_NAME_VERIFIED,False,OK,,16581000000.0,1455000000.0,4.9,2893000000.0,0.118,0.35,0.088,5697000000.0,0.997,24866000000.0,12381000000.0,TEL,0.048633948899569956
58,6607708,2025-07-30,2025-07-24,6,,MATCHED_STRONG,False,OK,,7684775000.0,692242000.0,19.51,566744000.0,0.393,0.225,0.09,283650000.0,1.569,5063729000.0,1971209000.0,FIX,0.2633207386623302
59,72529783,2025-07-30,2025-05-06,85,,MATCHED_STRONG,False,OK,,4348682000.0,333923000.0,5.81,546919000.0,0.137,0.396,0.077,1474922000.0,1.048,5060454000.0,2469224000.0,GNRC,0.08067832496278604
60,281316445,2025-07-30,2025-07-23,7,,MATCHED_STRONG,False,OK,,27609000000.0,3048000000.0,3.08,2341000000.0,0.18,0.223,0.11,6034000000.0,1.179,38740000000.0,17697000000.0,BKR,0.021307291088669356
61,731466408,2025-07-30,2025-07-25,5,,MATCHED_NAME_VERIFIED,False,OK,,16581000000.0,1455000000.0,4.9,2893000000.0,0.118,0.35,0.088,5697000000.0,0.997,24866000000.0,12381000000.0,TEL,0.048633948899569956
62,7655,2025-07-31,2025-05-02,90,,MATCHED_STRONG,False,OK,,13595000000.0,454000000.0,0.52,1153000000.0,0.042,0.331,0.033,7237000000.0,1.518,27394000000.0,10716000000.0,GLW,0.09769882922890583
63,4347086,2025-07-31,2025-07-31,0,,MATCHED_STRONG,False,OK,,10470000000.0,2184000000.0,4.6,1409000000.0,0.431,0.719,0.209,7035000000.0,2.782,17961000000.0,4749000000.0,EBAY,0.03071470761961015
64,6607708,2025-07-31,2025-07-24,7,,MATCHED_STRONG,False,OK,,7684775000.0,692242000.0,19.51,566744000.0,0.393,0.225,0.09,283650000.0,1.569,5063729000.0,1971209000.0,FIX,0.2633207386623302
65,72529783,2025-07-31,2025-05-06,86,,MATCHED_STRONG,False,OK,,4348682000.0,333923000.0,5.81,546919000.0,0.137,0.396,0.077,1474922000.0,1.048,5060454000.0,2469224000.0,GNRC,0.08067832496278604
66,691984365,2025-07-31,2025-07-23,8,,MATCHED_STRONG,False,OK,,36615000000.0,1156000000.0,4.21,2754000000.0,0.127,0.179,0.032,0.0,4.859,53078000000.0,8877000000.0,GEV,
67,731466408,2025-07-31,2025-07-25,6,,MATCHED_NAME_VERIFIED,False,OK,,16581000000.0,1455000000.0,4.9,2893000000.0,0.118,0.35,0.088,5697000000.0,0.997,24866000000.0,12381000000.0,TEL,0.048633948899569956
68,268627,2025-08-01,2025-07-23,9,,MATCHED_STRONG,False,OK,,34575300000.0,3963300000.0,12.53,2808000000.0,0.161,0.248,0.115,7248700000.0,0.491,36395900000.0,24052900000.0,DHI,-0.0731203204040437
69,6607708,2025-08-01,2025-07-24,8,,MATCHED_STRONG,False,OK,,7684775000.0,692242000.0,19.51,566744000.0,0.393,0.225,0.09,283650000.0,1.569,5063729000.0,1971209000.0,FIX,0.2633207386623302
70,72529783,2025-08-01,2025-05-06,87,,MATCHED_STRONG,False,OK,,4348682000.0,333923000.0,5.81,546919000.0,0.137,0.396,0.077,1474922000.0,1.048,5060454000.0,2469224000.0,GNRC,0.08067832496278604
71,691984365,2025-08-01,2025-07-23,9,,MATCHED_STRONG,False,OK,,36615000000.0,1156000000.0,4.21,2754000000.0,0.127,0.179,0.032,0.0,4.859,53078000000.0,8877000000.0,GEV,
72,268627,2025-08-04,2025-07-23,12,,MATCHED_STRONG,False,OK,,34575300000.0,3963300000.0,12.53,2808000000.0,0.161,0.248,0.115,7248700000.0,0.491,36395900000.0,24052900000.0,DHI,-0.0731203204040437
73,5019164,2025-08-04,2025-05-28,68,,MATCHED_STRONG,False,OK,,7781306000.0,1090848000.0,8.73,1012079000.0,0.516,0.456,0.14,1368815000.0,1.386,5157315000.0,2161276000.0,WSM,0.01642690811593006
74,6607708,2025-08-04,2025-07-24,11,,MATCHED_STRONG,False,OK,,7684775000.0,692242000.0,19.51,566744000.0,0.393,0.225,0.09,283650000.0,1.569,5063729000.0,1971209000.0,FIX,0.2633207386623302
75,72529783,2025-08-04,2025-05-06,90,,MATCHED_STRONG,False,OK,,4348682000.0,333923000.0,5.81,546919000.0,0.137,0.396,0.077,1474922000.0,1.048,5060454000.0,2469224000.0,GNRC,0.08067832496278604
76,691984365,2025-08-04,2025-07-23,12,,MATCHED_STRONG,False,OK,,36615000000.0,1156000000.0,4.21,2754000000.0,0.127,0.179,0.032,0.0,4.859,53078000000.0,8877000000.0,GEV,
77,6607708,2025-08-05,2025-07-24,12,,MATCHED_STRONG,False,OK,,7684775000.0,692242000.0,19.51,566744000.0,0.393,0.225,0.09,283650000.0,1.569,5063729000.0,1971209000.0,FIX,0.2633207386623302
78,691984365,2025-08-05,2025-07-23,13,,MATCHED_STRONG,False,OK,,36615000000.0,1156000000.0,4.21,2754000000.0,0.127,0.179,0.032,0.0,4.859,53078000000.0,8877000000.0,GEV,
79,6607708,2025-08-06,2025-07-24,13,,MATCHED_STRONG,False,OK,,7684775000.0,692242000.0,19.51,566744000.0,0.393,0.225,0.09,283650000.0,1.569,5063729000.0,1971209000.0,FIX,0.2633207386623302
80,7655,2025-08-07,2025-08-01,6,,MATCHED_STRONG,False,OK,,14206000000.0,819000000.0,0.95,1274000000.0,0.075,0.348,0.058,7500000000.0,1.547,28745000000.0,11116000000.0,GLW,0.14629226176067145
81,6607708,2025-08-07,2025-07-24,14,,MATCHED_STRONG,False,OK,,7684775000.0,692242000.0,19.51,566744000.0,0.393,0.225,0.09,283650000.0,1.569,5063729000.0,1971209000.0,FIX,0.2633207386623302
82,740948854,2025-08-07,2025-08-06,1,,MATCHED_STRONG,False,OK,,7950972000.0,3251534000.0,2.58,3975342000.0,0.323,0.642,0.409,0.0,0.517,16534200000.0,10901600000.0,ANET,0.2597261547543621
83,7655,2025-08-08,2025-08-01,7,,MATCHED_STRONG,False,OK,,14206000000.0,819000000.0,0.95,1274000000.0,0.075,0.348,0.058,7500000000.0,1.547,28745000000.0,11116000000.0,GLW,0.14629226176067145
84,4347086,2025-08-08,2025-07-31,8,,MATCHED_STRONG,False,OK,,10470000000.0,2184000000.0,4.6,1409000000.0,0.431,0.719,0.209,7035000000.0,2.782,17961000000.0,4749000000.0,EBAY,0.027477919528949846
85,481863646,2025-08-08,2025-08-06,2,,MATCHED_STRONG,False,OK,,5313789000.0,2429574000.0,7.18,2850867000.0,2.577,0.809,0.457,3510958000.0,4.106,5959497000.0,1167127000.0,APP,0.34330725063331835
86,740948854,2025-08-08,2025-08-06,2,,MATCHED_STRONG,False,OK,,7950972000.0,3251534000.0,2.58,3975342000.0,0.323,0.642,0.409,0.0,0.517,16534200000.0,10901600000.0,ANET,0.2597261547543621
87,7655,2025-08-11,2025-08-01,10,,MATCHED_STRONG,False,OK,,14206000000.0,819000000.0,0.95,1274000000.0,0.075,0.348,0.058,7500000000.0,1.547,28745000000.0,11116000000.0,GLW,0.14629226176067145
88,4347086,2025-08-11,2025-07-31,11,,MATCHED_STRONG,False,OK,,10470000000.0,2184000000.0,4.6,1409000000.0,0.431,0.719,0.209,7035000000.0,2.782,17961000000.0,4749000000.0,EBAY,0.027477919528949846
89,481863646,2025-08-11,2025-08-06,5,,MATCHED_STRONG,False,OK,,5313789000.0,2429574000.0,7.18,2850867000.0,2.577,0.809,0.457,3510958000.0,4.106,5959497000.0,1167127000.0,APP,0.34330725063331835
90,740948854,2025-08-11,2025-08-06,5,,MATCHED_STRONG,False,OK,,7950972000.0,3251534000.0,2.58,3975342000.0,0.323,0.642,0.409,0.0,0.517,16534200000.0,10901600000.0,ANET,0.2597261547543621
91,4347086,2025-08-12,2025-07-31,12,,MATCHED_STRONG,False,OK,,10470000000.0,2184000000.0,4.6,1409000000.0,0.431,0.719,0.209,7035000000.0,2.782,17961000000.0,4749000000.0,EBAY,0.027477919528949846
92,481863646,2025-08-12,2025-08-06,6,,MATCHED_STRONG,False,OK,,5313789000.0,2429574000.0,7.18,2850867000.0,2.577,0.809,0.457,3510958000.0,4.106,5959497000.0,1167127000.0,APP,0.34330725063331835
93,740948854,2025-08-12,2025-08-06,6,,MATCHED_STRONG,False,OK,,7950972000.0,3251534000.0,2.58,3975342000.0,0.323,0.642,0.409,0.0,0.517,16534200000.0,10901600000.0,ANET,0.2597261547543621
94,9091,2025-08-13,2025-07-01,43,,MATCHED_STRONG,False,OK,,35371977000.0,3255863000.0,12.08,340101000.0,0.129,0.133,0.092,2791987000.0,0.516,34374546000.0,22579080000.0,LEN,-0.011301641298481657
95,655276609,2025-08-13,2025-08-06,7,,MATCHED_NAME_VERIFIED,False,OK,,36347000000.0,3304000000.0,4.82,1428000000.0,0.152,0.36,0.091,17156000000.0,1.358,53984000000.0,22345000000.0,CRH,0.038485714285714234
96,9091,2025-08-14,2025-07-01,44,,MATCHED_STRONG,False,OK,,35371977000.0,3255863000.0,12.08,340101000.0,0.129,0.133,0.092,2791987000.0,0.516,34374546000.0,22579080000.0,LEN,-0.011301641298481657
97,270639,2025-08-14,2025-07-24,21,,MATCHED_STRONG,False,OK,,53070000000.0,-20504000000.0,-4.75,-10943000000.0,-0.207,0.298,-0.386,50757000000.0,0.886,192520000000.0,97883000000.0,INTC,-0.03720904918270718
98,32106121,2025-08-14,2025-08-04,10,,MATCHED_STRONG,False,OK,,2543912000.0,1861310000.0,38.38,706303000.0,0.612,0.553,0.732,0.0,0.168,3972210000.0,3402068000.0,MPWR,0.34300428414181217
99,98542021,2025-08-14,2025-08-08,6,,MATCHED_STRONG,False,OK,,14018000000.0,1113000000.0,8.65,1997000000.0,0.93,0.896,0.079,6482000000.0,29.773,26976000000.0,836000000.0,EXPE,0.05692528085651816
100,655276609,2025-08-14,2025-08-06,8,,MATCHED_NAME_VERIFIED,False,OK,,36347000000.0,3304000000.0,4.82,1428000000.0,0.152,0.36,0.091,17156000000.0,1.358,53984000000.0,22345000000.0,CRH,0.038485714285714234
101,13272,2025-08-15,2025-08-11,4,,MATCHED_STRONG,False,OK,,422818000000.0,21296000000.0,23.25,25271000000.0,0.226,0.208,0.05,79193000000.0,2.151,308573000000.0,94724000000.0,UNH,0.09697773188494163
102,44001820,2025-08-15,2025-07-10,36,,MATCHED_STRONG,False,OK,,61924000000.0,4485000000.0,6.94,2332000000.0,0.29,0.469,0.072,21280000000.0,3.495,78395000000.0,17440000000.0,DAL,0.030058053462414858
103,79498203,2025-08-15,2025-07-17,29,,MATCHED_STRONG,False,OK,,57987000000.0,3310000000.0,10.11,4159000000.0,0.264,0.641,0.057,32786000000.0,4.77,77163000000.0,13373000000.0,UAL,0.04227554596926386
104,655276609,2025-08-15,2025-08-06,9,,MATCHED_NAME_VERIFIED,False,OK,,36347000000.0,3304000000.0,4.82,1428000000.0,0.152,0.36,0.091,17156000000.0,1.358,53984000000.0,22345000000.0,CRH,0.038485714285714234
105,740948854,2025-08-15,2025-08-06,9,,MATCHED_STRONG,False,OK,,7950972000.0,3251534000.0,2.58,3975342000.0,0.323,0.642,0.409,0.0,0.517,16534200000.0,10901600000.0,ANET,0.2597261547543621
106,8251,2025-08-18,2025-07-30,19,,MATCHED_STRONG,False,OK,,123110000000.0,1576000000.0,13.07,2446000000.0,0.09,0.15,0.013,12884000000.0,1.758,50357000000.0,18234000000.0,HUM,0.09884322896211928
107,13272,2025-08-18,2025-08-11,7,,MATCHED_STRONG,False,OK,,422818000000.0,21296000000.0,23.25,25271000000.0,0.226,0.208,0.05,79193000000.0,2.151,308573000000.0,94724000000.0,UNH,0.09697773188494163
108,44001820,2025-08-18,2025-07-10,39,,MATCHED_STRONG,False,OK,,61924000000.0,4485000000.0,6.94,2332000000.0,0.29,0.469,0.072,21280000000.0,3.495,78395000000.0,17440000000.0,DAL,0.030058053462414858
109,79498203,2025-08-18,2025-07-17,32,,MATCHED_STRONG,False,OK,,57987000000.0,3310000000.0,10.11,4159000000.0,0.264,0.641,0.057,32786000000.0,4.77,77163000000.0,13373000000.0,UAL,0.04227554596926386
110,740948854,2025-08-18,2025-08-06,12,,MATCHED_STRONG,False,OK,,7950972000.0,3251534000.0,2.58,3975342000.0,0.323,0.642,0.409,0.0,0.517,16534200000.0,10901600000.0,ANET,0.2597261547543621
111,13272,2025-08-19,2025-08-11,8,,MATCHED_STRONG,False,OK,,422818000000.0,21296000000.0,23.25,25271000000.0,0.226,0.208,0.05,79193000000.0,2.151,308573000000.0,94724000000.0,UNH,0.09697773188494163
112,44001820,2025-08-19,2025-07-10,40,,MATCHED_STRONG,False,OK,,61924000000.0,4485000000.0,6.94,2332000000.0,0.29,0.469,0.072,21280000000.0,3.495,78395000000.0,17440000000.0,DAL,0.030058053462414858
113,79498203,2025-08-19,2025-07-17,33,,MATCHED_STRONG,False,OK,,57987000000.0,3310000000.0,10.11,4159000000.0,0.264,0.641,0.057,32786000000.0,4.77,77163000000.0,13373000000.0,UAL,0.04227554596926386
114,98542021,2025-08-19,2025-08-08,11,,MATCHED_STRONG,False,OK,,14018000000.0,1113000000.0,8.65,1997000000.0,0.93,0.896,0.079,6482000000.0,29.773,26976000000.0,836000000.0,EXPE,0.05692528085651816
115,655276609,2025-08-19,2025-08-06,13,,MATCHED_NAME_VERIFIED,False,OK,,36347000000.0,3304000000.0,4.82,1428000000.0,0.152,0.36,0.091,17156000000.0,1.358,53984000000.0,22345000000.0,CRH,0.038485714285714234
116,13272,2025-08-20,2025-08-11,9,,MATCHED_STRONG,False,OK,,422818000000.0,21296000000.0,23.25,25271000000.0,0.226,0.208,0.05,79193000000.0,2.151,308573000000.0,94724000000.0,UNH,0.09697773188494163
117,270639,2025-08-20,2025-07-24,27,,MATCHED_STRONG,False,OK,,53070000000.0,-20504000000.0,-4.75,-10943000000.0,-0.207,0.298,-0.386,50757000000.0,0.886,192520000000.0,97883000000.0,INTC,-0.03720904918270718
118,13878278,2025-08-20,2025-07-25,26,,MATCHED_STRONG,False,OK,,178190000000.0,2054000000.0,4.12,1080000000.0,0.075,0.089,0.012,17577000000.0,2.149,86395000000.0,27406000000.0,CNC,0.12960791150274176
119,8251,2025-08-21,2025-07-30,22,,MATCHED_STRONG,False,OK,,123110000000.0,1576000000.0,13.07,2446000000.0,0.09,0.15,0.013,12884000000.0,1.758,50357000000.0,18234000000.0,HUM,0.09884322896211928
